record_id,match_id,player_name,role,nationality,team_id,team_city,coach,opponent_team_id,stadium_id,stadium_name,stadium_location,stadium_capacity,format_id,match_date,runs_scored,balls_faced,wickets_taken,overs_bowled,catches_taken,age
20,427,Jofra Archer,Bowler,England,3,London,Brendon McCullum,6,23,"Lord's Cricket Ground, London",London,36298,3,2024-05-23,112,12,5,13.6,3,29
21,173,Chris Gayle,Batsman,West Indies,7,Kingston,Daren Sammy,1,15,"Kensington Oval, Bridgetown",Kingston,49962,2,2020-09-02,149,96,1,12.6,1,44
22,238,Devon Conway,Wicketkeeper,New Zealand,6,Auckland,Gary Stead,3,23,"Eden Park, Auckland",Auckland,67927,2,2024-12-20,149,59,3,12.7,4,32
23,445,Nicholas Pooran,Wicketkeeper,West Indies,7,Kingston,Daren Sammy,9,15,"Kensington Oval, Bridgetown",Kingston,43099,3,2024-03-16,130,72,3,18.8,4,28
24,395,Andre Russell,All-rounder,West Indies,7,Kingston,Daren Sammy,3,23,"Kensington Oval, Bridgetown",Kingston,85819,1,2021-08-29,28,59,4,16.5,5,35
25,98,Lasith Malinga,Bowler,Sri Lanka,8,Colombo,Chris Silverwood,10,22,"R. Premadasa Stadium, Colombo",Colombo,77660,3,2022-01-10,131,96,2,0.5,0,40
26,383,Shadab Khan,All-rounder,Pakistan,5,Karachi,Grant Bradburn,7,24,"Gaddafi Stadium, Lahore",Karachi,51820,3,2020-04-18,99,37,4,15.4,2,25
27,131,Jacques Kallis,All-rounder,South Africa,4,Johannesburg,Rob Walter,8,25,"Newlands, Cape Town",Johannesburg,60931,3,2024-06-14,104,27,0,2.0,5,48
28,453,Babar Azam,Batsman,Pakistan,5,Karachi,Grant Bradburn,3,18,"Gaddafi Stadium, Lahore",Karachi,71662,2,2024-09-11,119,40,1,8.8,2,29
29,190,Rashid Khan,Bowler,Afghanistan,10,Kabul,Jonathan Trott,2,19,"Kabul International Cricket Stadium, Kabul",Kabul,58621,3,2020-08-13,146,84,0,17.4,2,25
30,456,Devon Conway,Wicketkeeper,New Zealand,6,Auckland,Gary Stead,4,10,"Eden Park, Auckland",Auckland,29570,1,2021-11-23,133,90,0,7.0,2,32
31,384,Rashid Khan,Bowler,Afghanistan,10,Kabul,Jonathan Trott,2,25,"Kabul International Cricket Stadium, Kabul",Kabul,64593,3,2020-12-03,86,12,1,14.8,3,25
32,396,Kane Williamson,Batsman,New Zealand,6,Auckland,Gary Stead,7,2,"Eden Park, Auckland",Auckland,27396,3,2020-01-19,83,60,1,19.0,1,33
33,421,Sachin Tendulkar,Batsman,India,1,Mumbai,Rahul Dravid,7,20,"Wankhede Stadium, Mumbai",Mumbai,64759,1,2020-05-07,136,17,1,13.5,5,50
34,343,Shaheen Afridi,Bowler,Pakistan,5,Karachi,Grant Bradburn,3,19,"Gaddafi Stadium, Lahore",Karachi,29872,3,2021-08-12,128,25,1,17.0,2,24
35,227,Tamim Iqbal,Batsman,Bangladesh,9,Dhaka,Chandika Hathurusingha,5,11,"Sher-e-Bangla National Stadium, Dhaka",Dhaka,79475,3,2020-07-26,9,60,5,20.0,5,35
36,278,Jos Buttler,Wicketkeeper,England,3,London,Brendon McCullum,6,21,"Lord's Cricket Ground, London",London,38065,3,2024-12-13,76,87,0,12.0,2,33
37,317,Daryl Mitchell,All-rounder,New Zealand,6,Auckland,Gary Stead,4,17,"Eden Park, Auckland",Auckland,76189,3,2021-12-20,27,73,1,17.4,5,32
38,86,Rahmanullah Gurbaz,Wicketkeeper,Afghanistan,10,Kabul,Jonathan Trott,8,8,"Kabul International Cricket Stadium, Kabul",Kabul,60013,3,2024-05-31,104,42,2,12.5,0,23
39,341,Ravindra Jadeja,All-rounder,India,1,Mumbai,Rahul Dravid,5,9,"Wankhede Stadium, Mumbai",Mumbai,46881,3,2022-05-12,122,58,4,19.8,3,35
40,466,Glenn Maxwell,All-rounder,Australia,2,Sydney,Andrew McDonald,9,19,"Melbourne Cricket Ground, Melbourne",Sydney,50054,3,2022-09-14,36,32,4,15.7,1,35
41,144,Tamim Iqbal,Batsman,Bangladesh,9,Dhaka,Chandika Hathurusingha,10,2,"Sher-e-Bangla National Stadium, Dhaka",Dhaka,62407,3,2023-08-01,71,84,4,7.1,4,35
42,165,Shakib Al Hasan,All-rounder,Bangladesh,9,Dhaka,Chandika Hathurusingha,5,6,"Sher-e-Bangla National Stadium, Dhaka",Dhaka,47107,2,2021-11-29,146,38,5,13.8,4,37
43,469,Sachin Tendulkar,Batsman,India,1,Mumbai,Rahul Dravid,4,21,"Wankhede Stadium, Mumbai",Mumbai,66268,3,2024-06-24,56,37,3,16.0,5,50
44,251,Shadab Khan,All-rounder,Pakistan,5,Karachi,Grant Bradburn,8,7,"Gaddafi Stadium, Lahore",Karachi,49456,2,2024-04-16,48,98,3,6.5,4,25
45,120,Rahmanullah Gurbaz,Wicketkeeper,Afghanistan,10,Kabul,Jonathan Trott,6,2,"Kabul International Cricket Stadium, Kabul",Kabul,34498,1,2022-06-12,48,48,0,16.6,0,23
46,170,Jofra Archer,Bowler,England,3,London,Brendon McCullum,10,9,"Lord's Cricket Ground, London",London,58908,2,2021-11-23,148,82,4,6.4,2,29
47,91,Faf du Plessis,Batsman,South Africa,4,Johannesburg,Rob Walter,7,18,"Newlands, Cape Town",Johannesburg,79074,1,2023-10-05,15,89,5,18.9,0,39
48,101,Nicholas Pooran,Wicketkeeper,West Indies,7,Kingston,Daren Sammy,3,25,"Kensington Oval, Bridgetown",Kingston,39804,3,2023-01-08,2,7,3,17.9,0,28
49,147,Daryl Mitchell,All-rounder,New Zealand,6,Auckland,Gary Stead,9,18,"Eden Park, Auckland",Auckland,38407,2,2023-02-18,114,64,1,0.3,4,32
50,97,Jacques Kallis,All-rounder,South Africa,4,Johannesburg,Rob Walter,5,1,"Newlands, Cape Town",Johannesburg,39828,2,2020-09-17,148,67,2,3.5,5,48
51,365,Tamim Iqbal,Batsman,Bangladesh,9,Dhaka,Chandika Hathurusingha,10,4,"Sher-e-Bangla National Stadium, Dhaka",Dhaka,56154,2,2022-12-29,39,69,4,15.8,5,35
52,142,Joe Root,Batsman,England,3,London,Brendon McCullum,1,15,"Lord's Cricket Ground, London",London,65964,3,2022-09-16,114,77,5,9.8,5,33
53,500,Tamim Iqbal,Batsman,Bangladesh,9,Dhaka,Chandika Hathurusingha,8,13,"Sher-e-Bangla National Stadium, Dhaka",Dhaka,31265,2,2023-06-17,61,16,5,16.0,3,35
54,69,Jacques Kallis,All-rounder,South Africa,4,Johannesburg,Rob Walter,7,28,"Newlands, Cape Town",Johannesburg,31679,2,2024-02-14,39,33,2,6.1,0,48
55,467,MS Dhoni,Wicketkeeper,India,1,Mumbai,Rahul Dravid,3,11,"Wankhede Stadium, Mumbai",Mumbai,31578,1,2024-09-18,76,89,2,4.7,4,42
56,385,Trent Boult,Bowler,New Zealand,6,Auckland,Gary Stead,5,1,"Eden Park, Auckland",Auckland,44705,1,2024-10-31,99,80,5,11.6,2,34
57,304,Jasprit Bumrah,Bowler,India,1,Mumbai,Rahul Dravid,4,3,"Wankhede Stadium, Mumbai",Mumbai,74396,2,2022-02-21,46,13,4,5.7,0,30
58,2,Daryl Mitchell,All-rounder,New Zealand,6,Auckland,Gary Stead,2,26,"Eden Park, Auckland",Auckland,31349,1,2024-05-23,110,55,1,10.6,0,32
59,190,MS Dhoni,Wicketkeeper,India,1,Mumbai,Rahul Dravid,2,2,"Wankhede Stadium, Mumbai",Mumbai,27812,2,2023-01-01,36,91,1,6.7,4,42
60,116,AB de Villiers,Batsman,South Africa,4,Johannesburg,Rob Walter,5,1,"Newlands, Cape Town",Johannesburg,83253,2,2022-01-13,64,32,2,6.9,1,40
61,95,Mitchell Starc,Bowler,Australia,2,Sydney,Andrew McDonald,6,17,"Melbourne Cricket Ground, Melbourne",Sydney,61237,1,2023-11-19,79,36,0,12.8,4,34
62,74,Shadab Khan,All-rounder,Pakistan,5,Karachi,Grant Bradburn,3,15,"Gaddafi Stadium, Lahore",Karachi,51612,3,2020-01-31,96,27,1,6.2,0,25
63,351,Rahmanullah Gurbaz,Wicketkeeper,Afghanistan,10,Kabul,Jonathan Trott,7,29,"Kabul International Cricket Stadium, Kabul",Kabul,72203,3,2020-08-13,137,37,1,8.2,1,23
64,245,Shadab Khan,All-rounder,Pakistan,5,Karachi,Grant Bradburn,3,23,"Gaddafi Stadium, Lahore",Karachi,70379,1,2022-09-19,34,32,4,15.2,2,25
65,307,Jos Buttler,Wicketkeeper,England,3,London,Brendon McCullum,7,25,"Lord's Cricket Ground, London",London,45844,2,2023-10-30,13,47,4,8.1,0,33
66,247,Devon Conway,Wicketkeeper,New Zealand,6,Auckland,Gary Stead,2,18,"Eden Park, Auckland",Auckland,85533,2,2023-07-24,41,12,0,16.6,5,32
67,453,Jacques Kallis,All-rounder,South Africa,4,Johannesburg,Rob Walter,7,29,"Newlands, Cape Town",Johannesburg,32286,1,2021-08-08,106,4,4,3.7,2,48
68,321,Rashid Khan,Bowler,Afghanistan,10,Kabul,Jonathan Trott,5,12,"Kabul International Cricket Stadium, Kabul",Kabul,49758,3,2023-12-27,23,68,5,14.3,3,25
69,425,Moeen Ali,All-rounder,England,3,London,Brendon McCullum,7,7,"Lord's Cricket Ground, London",London,72390,2,2022-03-31,36,83,2,14.4,1,36
70,204,Jofra Archer,Bowler,England,3,London,Brendon McCullum,2,7,"Lord's Cricket Ground, London",London,37323,3,2022-04-11,67,73,4,1.3,4,29
71,282,Mohammad Nabi,All-rounder,Afghanistan,10,Kabul,Jonathan Trott,7,14,"Kabul International Cricket Stadium, Kabul",Kabul,63501,1,2022-12-06,122,44,0,2.7,0,39
72,263,Alex Carey,Wicketkeeper,Australia,2,Sydney,Andrew McDonald,1,15,"Melbourne Cricket Ground, Melbourne",Sydney,76936,2,2020-03-02,40,17,3,6.7,3,32
73,172,Andre Russell,All-rounder,West Indies,7,Kingston,Daren Sammy,8,30,"Kensington Oval, Bridgetown",Kingston,67348,2,2021-03-23,128,40,4,3.5,1,35
74,333,Angelo Mathews,All-rounder,Sri Lanka,8,Colombo,Chris Silverwood,10,8,"R. Premadasa Stadium, Colombo",Colombo,35681,1,2025-03-04,56,52,0,5.5,3,36
75,336,Lasith Malinga,Bowler,Sri Lanka,8,Colombo,Chris Silverwood,7,29,"R. Premadasa Stadium, Colombo",Colombo,39483,1,2020-11-15,39,1,5,15.1,0,40
76,354,Nicholas Pooran,Wicketkeeper,West Indies,7,Kingston,Daren Sammy,2,29,"Kensington Oval, Bridgetown",Kingston,73839,1,2022-06-02,88,33,5,6.4,3,28
77,401,Andre Russell,All-rounder,West Indies,7,Kingston,Daren Sammy,1,27,"Kensington Oval, Bridgetown",Kingston,88664,3,2023-10-19,84,42,3,5.4,0,35
78,381,Sunil Narine,Bowler,West Indies,7,Kingston,Daren Sammy,10,14,"Kensington Oval, Bridgetown",Kingston,76617,3,2023-12-05,49,94,3,5.0,5,36
79,489,Glenn Maxwell,All-rounder,Australia,2,Sydney,Andrew McDonald,4,12,"Melbourne Cricket Ground, Melbourne",Sydney,35596,2,2024-03-27,101,81,4,2.9,4,35
80,350,Chris Gayle,Batsman,West Indies,7,Kingston,Daren Sammy,10,22,"Kensington Oval, Bridgetown",Kingston,82950,3,2024-11-16,29,17,4,10.5,5,44
81,203,Jacques Kallis,All-rounder,South Africa,4,Johannesburg,Rob Walter,6,17,"Newlands, Cape Town",Johannesburg,41826,2,2020-10-09,18,91,1,3.4,3,48
82,75,Rohit Sharma,Batsman,India,1,Mumbai,Rahul Dravid,4,28,"Wankhede Stadium, Mumbai",Mumbai,34020,3,2020-05-31,149,70,0,7.6,0,36
83,337,Hazratullah Zazai,Batsman,Afghanistan,10,Kabul,Jonathan Trott,3,24,"Kabul International Cricket Stadium, Kabul",Kabul,69426,3,2023-04-03,39,11,3,18.4,1,25
84,104,Quinton de Kock,Wicketkeeper,South Africa,4,Johannesburg,Rob Walter,8,20,"Newlands, Cape Town",Johannesburg,56813,2,2024-08-25,110,100,2,5.8,4,31
85,153,Chris Gayle,Batsman,West Indies,7,Kingston,Daren Sammy,2,6,"Kensington Oval, Bridgetown",Kingston,70719,2,2021-03-17,33,80,1,10.9,1,44
86,437,Moeen Ali,All-rounder,England,3,London,Brendon McCullum,2,20,"Lord's Cricket Ground, London",London,61572,3,2020-02-03,106,73,5,12.5,0,36
87,370,Jacques Kallis,All-rounder,South Africa,4,Johannesburg,Rob Walter,8,19,"Newlands, Cape Town",Johannesburg,58436,1,2023-04-22,20,50,1,4.0,0,48
88,93,Jasprit Bumrah,Bowler,India,1,Mumbai,Rahul Dravid,5,28,"Wankhede Stadium, Mumbai",Mumbai,44648,2,2020-05-20,102,90,0,7.7,1,30
89,213,Rahmanullah Gurbaz,Wicketkeeper,Afghanistan,10,Kabul,Jonathan Trott,2,6,"Kabul International Cricket Stadium, Kabul",Kabul,45495,2,2024-07-25,110,67,2,19.4,3,23
90,146,Quinton de Kock,Wicketkeeper,South Africa,4,Johannesburg,Rob Walter,9,27,"Newlands, Cape Town",Johannesburg,86177,3,2021-03-23,38,92,2,4.4,3,31
91,190,Kane Williamson,Batsman,New Zealand,6,Auckland,Gary Stead,3,16,"Eden Park, Auckland",Auckland,51898,2,2020-11-09,35,44,5,3.3,3,33
92,114,Lasith Malinga,Bowler,Sri Lanka,8,Colombo,Chris Silverwood,4,15,"R. Premadasa Stadium, Colombo",Colombo,75819,3,2023-05-25,116,86,0,10.7,3,40
93,281,Alex Carey,Wicketkeeper,Australia,2,Sydney,Andrew McDonald,1,21,"Melbourne Cricket Ground, Melbourne",Sydney,88565,2,2022-05-03,44,44,1,5.1,4,32
94,187,Lasith Malinga,Bowler,Sri Lanka,8,Colombo,Chris Silverwood,6,13,"R. Premadasa Stadium, Colombo",Colombo,46949,1,2023-08-29,95,84,5,6.4,4,40
95,344,Niroshan Dickwella,Wicketkeeper,Sri Lanka,8,Colombo,Chris Silverwood,5,29,"R. Premadasa Stadium, Colombo",Colombo,86192,1,2020-11-30,32,89,4,3.3,5,30
96,214,Babar Azam,Batsman,Pakistan,5,Karachi,Grant Bradburn,6,24,"Gaddafi Stadium, Lahore",Karachi,41205,1,2024-11-19,122,11,4,9.3,1,29
97,88,Kumar Sangakkara,Batsman,Sri Lanka,8,Colombo,Chris Silverwood,9,19,"R. Premadasa Stadium, Colombo",Colombo,48579,3,2023-09-28,118,17,0,10.9,2,46
98,213,Ravindra Jadeja,All-rounder,India,1,Mumbai,Rahul Dravid,3,7,"Wankhede Stadium, Mumbai",Mumbai,28489,1,2021-01-01,122,81,0,14.5,0,35
99,460,Steve Smith,Batsman,Australia,2,Sydney,Andrew McDonald,9,4,"Melbourne Cricket Ground, Melbourne",Sydney,26805,3,2021-10-07,114,6,3,8.9,2,34
100,174,Glenn Maxwell,All-rounder,Australia,2,Sydney,Andrew McDonald,1,18,"Melbourne Cricket Ground, Melbourne",Sydney,69009,2,2024-05-20,31,54,0,12.7,1,35
101,25,Lasith Malinga,Bowler,Sri Lanka,8,Colombo,Chris Silverwood,9,1,"R. Premadasa Stadium, Colombo",Colombo,36120,1,2024-12-22,110,9,5,0.5,0,40
102,339,Mitchell Starc,Bowler,Australia,2,Sydney,Andrew McDonald,3,29,"Melbourne Cricket Ground, Melbourne",Sydney,46960,1,2021-12-28,26,8,3,6.0,3,34
103,152,Faf du Plessis,Batsman,South Africa,4,Johannesburg,Rob Walter,1,7,"Newlands, Cape Town",Johannesburg,54310,1,2021-09-07,65,90,0,17.1,2,39
104,295,Kane Williamson,Batsman,New Zealand,6,Auckland,Gary Stead,2,27,"Eden Park, Auckland",Auckland,81193,3,2023-02-03,133,10,4,17.3,3,33
105,42,Nicholas Pooran,Wicketkeeper,West Indies,7,Kingston,Daren Sammy,9,11,"Kensington Oval, Bridgetown",Kingston,31676,2,2022-08-10,100,10,4,7.7,5,28
106,116,Kumar Sangakkara,Batsman,Sri Lanka,8,Colombo,Chris Silverwood,2,30,"R. Premadasa Stadium, Colombo",Colombo,75571,3,2020-08-30,5,18,2,12.3,1,46
107,346,Trent Boult,Bowler,New Zealand,6,Auckland,Gary Stead,5,23,"Eden Park, Auckland",Auckland,63940,2,2021-11-25,62,17,2,11.9,5,34
108,185,AB de Villiers,Batsman,South Africa,4,Johannesburg,Rob Walter,9,20,"Newlands, Cape Town",Johannesburg,37802,3,2023-04-30,15,78,3,19.7,1,40
109,459,Rahmanullah Gurbaz,Wicketkeeper,Afghanistan,10,Kabul,Jonathan Trott,1,28,"Kabul International Cricket Stadium, Kabul",Kabul,78332,1,2021-09-03,93,30,4,12.1,4,23
110,254,Moeen Ali,All-rounder,England,3,London,Brendon McCullum,5,7,"Lord's Cricket Ground, London",London,44928,3,2021-01-29,134,6,0,1.2,0,36
111,183,Moeen Ali,All-rounder,England,3,London,Brendon McCullum,2,6,"Lord's Cricket Ground, London",London,44146,1,2021-06-14,132,36,5,0.3,3,36
112,278,Kagiso Rabada,Bowler,South Africa,4,Johannesburg,Rob Walter,10,1,"Newlands, Cape Town",Johannesburg,32773,2,2022-10-04,80,22,3,19.8,0,29
113,274,Nicholas Pooran,Wicketkeeper,West Indies,7,Kingston,Daren Sammy,9,19,"Kensington Oval, Bridgetown",Kingston,67977,3,2020-02-10,115,92,0,9.5,1,28
114,282,Hazratullah Zazai,Batsman,Afghanistan,10,Kabul,Jonathan Trott,8,25,"Kabul International Cricket Stadium, Kabul",Kabul,29346,3,2022-03-28,61,24,3,9.7,2,25
115,351,Trent Boult,Bowler,New Zealand,6,Auckland,Gary Stead,2,14,"Eden Park, Auckland",Auckland,86992,2,2020-05-03,22,6,2,13.8,3,34
116,126,Glenn Maxwell,All-rounder,Australia,2,Sydney,Andrew McDonald,4,1,"Melbourne Cricket Ground, Melbourne",Sydney,62658,3,2021-12-10,139,25,5,0.8,2,35
117,106,Mushfiqur Rahim,Wicketkeeper,Bangladesh,9,Dhaka,Chandika Hathurusingha,5,24,"Sher-e-Bangla National Stadium, Dhaka",Dhaka,72448,3,2021-03-26,75,34,1,5.9,1,36
118,211,Mushfiqur Rahim,Wicketkeeper,Bangladesh,9,Dhaka,Chandika Hathurusingha,8,18,"Sher-e-Bangla National Stadium, Dhaka",Dhaka,43645,1,2022-02-02,111,78,1,6.9,4,36
119,236,MS Dhoni,Wicketkeeper,India,1,Mumbai,Rahul Dravid,3,19,"Wankhede Stadium, Mumbai",Mumbai,80572,2,2020-03-23,78,83,1,1.4,4,42
120,438,Niroshan Dickwella,Wicketkeeper,Sri Lanka,8,Colombo,Chris Silverwood,1,3,"R. Premadasa Stadium, Colombo",Colombo,64609,2,2023-12-31,37,44,2,3.3,0,30
121,139,Kagiso Rabada,Bowler,South Africa,4,Johannesburg,Rob Walter,10,30,"Newlands, Cape Town",Johannesburg,87781,2,2022-05-22,52,55,0,2.6,0,29
122,275,Steve Smith,Batsman,Australia,2,Sydney,Andrew McDonald,5,15,"Melbourne Cricket Ground, Melbourne",Sydney,64879,2,2022-08-07,116,53,1,11.0,3,34
123,159,Mushfiqur Rahim,Wicketkeeper,Bangladesh,9,Dhaka,Chandika Hathurusingha,2,11,"Sher-e-Bangla National Stadium, Dhaka",Dhaka,58932,1,2024-01-04,28,45,2,9.6,1,36
124,205,Mohammad Rizwan,Wicketkeeper,Pakistan,5,Karachi,Grant Bradburn,6,2,"Gaddafi Stadium, Lahore",Karachi,60462,1,2023-08-01,31,8,3,7.8,4,32
125,498,Babar Azam,Batsman,Pakistan,5,Karachi,Grant Bradburn,2,14,"Gaddafi Stadium, Lahore",Karachi,58265,3,2021-02-05,81,100,3,19.1,4,29
126,352,Hazratullah Zazai,Batsman,Afghanistan,10,Kabul,Jonathan Trott,9,19,"Kabul International Cricket Stadium, Kabul",Kabul,56634,1,2023-10-02,10,47,4,12.8,2,25
127,318,Steve Smith,Batsman,Australia,2,Sydney,Andrew McDonald,5,7,"Melbourne Cricket Ground, Melbourne",Sydney,89025,3,2021-04-29,140,93,1,5.7,4,34
128,247,Ravindra Jadeja,All-rounder,India,1,Mumbai,Rahul Dravid,10,12,"Wankhede Stadium, Mumbai",Mumbai,86870,3,2022-05-10,101,28,4,12.4,5,35
129,115,Shakib Al Hasan,All-rounder,Bangladesh,9,Dhaka,Chandika Hathurusingha,4,13,"Sher-e-Bangla National Stadium, Dhaka",Dhaka,72308,3,2023-11-23,57,20,5,11.9,4,37
130,342,MS Dhoni,Wicketkeeper,India,1,Mumbai,Rahul Dravid,7,15,"Wankhede Stadium, Mumbai",Mumbai,50622,1,2024-05-16,17,34,1,16.2,4,42
131,242,Lasith Malinga,Bowler,Sri Lanka,8,Colombo,Chris Silverwood,10,17,"R. Premadasa Stadium, Colombo",Colombo,48030,3,2024-09-24,82,80,0,18.9,4,40
132,168,Rahmanullah Gurbaz,Wicketkeeper,Afghanistan,10,Kabul,Jonathan Trott,7,3,"Kabul International Cricket Stadium, Kabul",Kabul,42615,2,2022-10-02,30,85,4,16.3,2,23
133,283,Angelo Mathews,All-rounder,Sri Lanka,8,Colombo,Chris Silverwood,10,26,"R. Premadasa Stadium, Colombo",Colombo,53587,3,2020-12-18,72,48,1,9.6,0,36
134,458,Jacques Kallis,All-rounder,South Africa,4,Johannesburg,Rob Walter,10,26,"Newlands, Cape Town",Johannesburg,71164,2,2022-06-05,111,60,0,1.3,2,48
135,293,Angelo Mathews,All-rounder,Sri Lanka,8,Colombo,Chris Silverwood,7,17,"R. Premadasa Stadium, Colombo",Colombo,89621,3,2024-08-20,117,100,5,11.8,4,36
136,75,Kumar Sangakkara,Batsman,Sri Lanka,8,Colombo,Chris Silverwood,6,25,"R. Premadasa Stadium, Colombo",Colombo,80160,1,2022-03-06,39,74,3,16.4,3,46
137,197,Andre Russell,All-rounder,West Indies,7,Kingston,Daren Sammy,9,22,"Kensington Oval, Bridgetown",Kingston,49527,2,2021-03-05,11,48,1,12.4,3,35
138,474,Jasprit Bumrah,Bowler,India,1,Mumbai,Rahul Dravid,9,21,"Wankhede Stadium, Mumbai",Mumbai,71399,3,2020-03-26,75,60,0,1.1,1,30
139,77,Chris Gayle,Batsman,West Indies,7,Kingston,Daren Sammy,1,23,"Kensington Oval, Bridgetown",Kingston,58538,1,2021-06-28,10,65,5,1.9,5,44
140,318,Angelo Mathews,All-rounder,Sri Lanka,8,Colombo,Chris Silverwood,1,1,"R. Premadasa Stadium, Colombo",Colombo,84388,3,2021-12-23,18,71,2,6.4,4,36
141,208,Mohammad Nabi,All-rounder,Afghanistan,10,Kabul,Jonathan Trott,6,24,"Kabul International Cricket Stadium, Kabul",Kabul,38772,1,2020-02-12,42,3,4,17.7,2,39
142,291,Jacques Kallis,All-rounder,South Africa,4,Johannesburg,Rob Walter,3,16,"Newlands, Cape Town",Johannesburg,40942,1,2023-07-22,10,77,4,19.4,5,48
143,354,Nicholas Pooran,Wicketkeeper,West Indies,7,Kingston,Daren Sammy,8,18,"Kensington Oval, Bridgetown",Kingston,87517,1,2021-03-06,63,68,2,16.8,4,28
144,60,Virat Kohli,Batsman,India,1,Mumbai,Rahul Dravid,2,12,"Wankhede Stadium, Mumbai",Mumbai,49790,2,2021-06-09,123,94,2,17.2,3,35
145,151,Shakib Al Hasan,All-rounder,Bangladesh,9,Dhaka,Chandika Hathurusingha,3,3,"Sher-e-Bangla National Stadium, Dhaka",Dhaka,78058,1,2025-03-05,126,71,0,1.3,1,37
146,40,Angelo Mathews,All-rounder,Sri Lanka,8,Colombo,Chris Silverwood,9,22,"R. Premadasa Stadium, Colombo",Colombo,82286,3,2023-04-16,97,23,0,12.1,4,36
147,1,Jacques Kallis,All-rounder,South Africa,4,Johannesburg,Rob Walter,9,20,"Newlands, Cape Town",Johannesburg,79870,2,2023-09-24,138,14,5,16.5,3,48
148,393,Nicholas Pooran,Wicketkeeper,West Indies,7,Kingston,Daren Sammy,10,7,"Kensington Oval, Bridgetown",Kingston,68210,2,2021-04-29,29,68,3,8.1,0,28
